Index,Name,Nationality,Positions,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
2854,Edgar Ié,Portugal,RB,76,75,70,64,64,67,68,49,60,32,60,7,9,7,10,12,64,73,91,54,55,70,49,35,65,61,67,74,79,68,75,73,33,38,54,72,66,55,56,54,70,72,56,66,55,59,55,57,69,54,70,72,56,66,55,59,55,57,69,55
2855,J. Moreira,Paraguay,RB,85,65,77,75,76,68,78,59,67,26,32,8,9,15,16,6,65,59,64,72,59,67,39,62,64,77,55,66,87,85,72,48,51,28,66,65,69,63,68,66,72,65,68,69,63,70,58,67,73,66,72,65,68,69,63,70,58,67,73,58
2856,A. Esswein,Germany,ST,86,76,67,64,72,67,70,68,74,68,54,7,16,10,12,11,67,28,80,62,70,18,60,70,74,68,86,27,91,68,35,77,59,68,70,49,53,73,64,70,53,49,64,53,73,72,74,72,56,70,53,49,64,53,73,72,74,72,56,74
2857,J. Brabec,Czech Republic,CB,53,72,61,52,68,70,54,39,59,42,29,10,12,6,16,7,74,66,77,65,56,72,49,52,69,68,67,72,59,71,74,76,58,51,60,72,69,59,64,60,67,72,64,69,59,60,60,58,66,60,67,72,64,69,59,60,60,58,66,60
2858,I. Sarr,Senegal,ST,92,41,79,74,74,63,65,58,78,69,48,14,13,7,6,9,44,26,45,57,62,27,58,67,68,67,72,33,93,64,25,65,62,68,70,41,49,72,62,70,52,41,62,49,72,72,69,73,55,70,52,41,62,49,72,72,69,73,55,69
2859,M. Motta,Italy,RM,76,78,67,66,70,74,78,74,70,41,46,3,4,4,3,3,73,68,70,68,73,65,52,71,68,72,72,72,76,75,74,76,60,45,67,72,70,67,69,67,72,72,69,70,67,69,66,68,72,67,72,72,69,70,67,69,66,68,72,66
2860,J. van Overeem,Netherlands,CM,76,42,82,81,77,67,72,72,75,56,57,9,15,12,9,7,47,47,38,70,64,57,41,64,66,76,66,50,69,77,55,54,75,59,72,54,63,69,70,72,62,54,70,63,69,72,64,71,65,72,62,54,70,63,69,72,64,71,65,64
2861,Mata,Spain,LM,68,73,58,39,69,70,62,55,66,74,48,12,8,10,6,12,65,19,59,49,65,19,69,80,72,61,73,29,75,75,28,79,56,64,66,45,48,69,60,66,49,45,60,48,69,67,72,68,51,66,49,45,60,48,69,67,72,68,51,72
2862,I. Lewczuk,Poland,CB,56,78,54,64,63,67,67,59,60,42,34,15,13,15,14,16,62,74,70,53,35,75,52,62,72,68,63,69,53,91,74,82,60,34,59,72,71,59,64,59,70,72,64,71,59,62,59,59,70,59,70,72,64,71,59,62,59,59,70,59
2863,F. Kroos,Germany,CM,66,77,68,68,73,70,50,69,69,59,70,10,8,11,15,13,63,73,71,69,68,71,60,62,71,75,71,68,65,73,72,71,68,58,69,71,72,68,71,69,69,71,71,72,68,67,66,66,69,69,69,71,71,72,68,67,66,66,69,66
2864,D. Escalonas,Chile,CDM,68,65,66,69,75,82,70,74,74,69,75,8,7,12,10,12,66,75,70,74,72,64,72,66,76,73,68,73,72,74,67,71,77,67,73,70,72,72,74,73,71,70,74,72,72,72,70,72,72,73,71,70,74,72,72,72,70,72,72,70
2865,Welinton,Brazil,CB,53,78,60,61,54,55,59,41,41,43,53,12,9,14,15,12,75,65,80,51,41,74,39,62,60,61,66,73,67,73,75,80,52,53,53,72,65,54,57,53,67,72,57,65,54,55,58,53,64,53,67,72,57,65,54,55,58,53,64,58
2866,L. Pokorný,Czech Republic,CB,53,73,54,52,66,67,53,56,57,44,36,14,11,9,13,11,74,70,74,69,58,72,53,46,68,67,68,70,69,65,73,83,59,48,60,72,69,59,64,60,67,72,64,69,59,60,60,58,66,60,67,72,64,69,59,60,60,58,66,60
2867,Oriol Riera,Spain,ST,65,73,63,68,68,71,45,59,65,74,57,12,12,8,11,10,77,41,70,57,68,17,63,75,78,64,76,21,66,67,31,68,65,67,68,48,52,70,63,68,48,48,63,52,70,65,72,66,50,68,48,48,63,52,70,65,72,66,50,72
2868,Robson Denho,Brazil,CM,66,78,61,64,66,66,65,79,61,54,76,13,13,14,13,9,53,74,66,68,42,66,73,71,68,74,82,71,62,83,76,75,77,45,67,70,72,66,70,67,70,70,70,72,66,67,64,65,70,67,70,70,70,72,66,67,64,65,70,64
2869,J. Gandolfi,Argentina,CB,67,86,63,56,56,70,44,58,45,34,64,12,15,12,16,13,71,71,82,65,40,73,58,26,62,61,67,72,50,59,74,82,62,50,52,72,68,50,57,52,64,72,57,68,50,52,52,49,62,52,64,72,57,68,50,52,52,49,62,52
2870,A. Bukharov,Russia,ST,34,74,34,29,70,73,53,70,64,72,65,16,9,14,7,13,81,34,34,54,68,23,69,75,75,58,78,28,69,68,28,93,73,65,65,50,52,68,62,65,48,50,62,52,68,64,72,64,50,65,48,50,62,52,68,64,72,64,50,72
2871,Xeka,Portugal,CDM,55,66,60,54,75,66,45,74,71,46,68,7,5,11,5,6,59,67,75,76,65,55,51,62,65,77,75,62,55,70,67,68,75,45,69,65,69,66,72,69,63,65,72,69,66,65,62,64,64,69,63,65,72,69,66,65,62,64,64,62
2872,M. Rosenberg,Sweden,ST,69,83,71,63,71,81,69,65,66,76,71,10,8,16,8,11,67,42,86,53,67,43,71,72,77,73,74,31,67,71,20,81,76,70,71,53,56,72,66,71,54,53,66,56,72,70,72,71,57,71,54,53,66,56,72,70,72,71,57,72
2873,G. Caprari,Italy,CAM,91,30,91,89,76,68,68,72,80,66,65,9,8,14,6,11,47,15,33,62,68,15,56,68,68,72,68,12,85,76,13,52,75,67,74,32,45,73,66,74,46,32,66,45,73,74,68,75,52,74,46,32,66,45,73,74,68,75,52,68
2874,G. Hauche,Argentina,LM,90,82,85,76,77,73,73,67,77,70,73,11,11,11,11,11,58,21,77,64,67,32,77,71,74,70,73,33,89,73,46,61,69,61,74,50,56,74,67,74,56,50,67,56,74,75,72,76,59,74,56,50,67,56,74,75,72,76,59,72
2875,M. Coldado,Chile,RM,59,68,57,61,66,66,61,42,71,59,43,11,10,9,8,9,72,72,71,71,64,70,51,41,73,73,54,74,55,72,75,73,71,41,65,72,72,63,69,65,69,72,69,72,63,65,61,63,69,65,69,72,69,72,63,65,61,63,69,61
2876,M. Banguera,Ecuador,GK,40,30,28,31,12,29,12,19,18,14,20,68,70,65,77,77,15,18,35,12,14,14,13,16,69,14,12,14,40,30,16,65,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2877,A. Westwood,England,CDM,68,49,73,79,77,76,76,71,65,47,75,10,13,13,7,8,44,70,63,79,57,61,55,54,76,76,62,64,63,78,66,65,76,48,69,63,71,65,72,69,69,63,72,71,65,70,60,67,71,69,69,63,72,71,65,70,60,67,71,60
2878,C. Ciano,Italy,LW,87,51,81,73,77,75,72,72,76,70,74,9,12,9,9,7,58,25,55,68,63,13,76,66,68,70,70,20,74,68,23,62,66,67,71,40,49,71,65,71,49,40,65,49,71,73,69,73,53,71,49,40,65,49,71,73,69,73,53,69
2879,A. Andrade,Colombia,CM,80,35,79,69,75,65,63,66,78,62,61,13,8,13,9,13,45,37,70,70,68,25,76,67,66,68,78,29,80,79,35,61,72,66,72,44,54,71,68,72,53,44,68,54,71,72,67,71,57,72,53,44,68,54,71,72,67,71,57,67
2880,Costinha,Portugal,CAM,91,85,92,90,73,65,65,66,75,63,57,6,7,10,7,10,65,61,77,69,77,50,72,71,77,74,74,50,85,80,57,38,71,57,74,60,66,74,72,74,66,60,72,66,74,74,70,74,68,74,66,60,72,66,74,74,70,74,68,70
2881,T. Kuszczak,Poland,GK,50,38,52,48,22,41,16,13,12,15,13,75,64,64,69,78,16,23,64,27,15,14,22,11,75,26,23,13,43,34,14,60,47,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882,G. Milanov,Bulgaria,CAM,75,56,73,69,73,64,63,69,74,66,65,15,12,9,14,11,62,57,81,73,70,55,54,72,73,75,72,60,81,72,59,61,73,59,73,62,66,73,72,73,66,62,72,66,73,72,70,72,67,73,66,62,72,66,73,72,70,72,67,70
2883,Pedro Rocha,Brazil,LM,79,42,81,67,72,69,67,45,75,72,38,14,8,6,10,13,67,32,65,65,62,34,66,77,76,72,61,27,79,55,30,59,66,58,72,46,52,73,66,72,52,46,66,52,73,72,71,73,55,72,52,46,66,52,73,72,71,73,55,71
2884,R. Gurtner,France,GK,41,35,32,32,28,42,10,9,10,9,10,74,75,73,74,74,10,13,58,30,8,12,24,14,53,29,22,13,49,38,12,68,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885,Samir,Brazil,CB,66,78,50,37,67,65,61,29,48,24,30,11,11,14,11,14,70,77,60,46,26,76,44,30,75,63,60,74,69,73,78,79,42,28,51,74,69,51,56,51,72,74,56,69,51,56,52,52,70,51,72,74,56,69,51,56,52,52,70,52
2886,W. Anton,Germany,RB,47,74,59,57,61,52,41,37,54,41,39,11,12,12,13,13,67,74,71,60,40,72,48,50,70,66,49,70,64,68,75,77,56,38,57,72,69,55,61,57,66,72,61,69,55,56,55,54,64,57,66,72,61,69,55,56,55,54,64,55
2887,D. Kombarov,Russia,LWB,75,77,76,72,78,80,26512,73,74,68,78,9,12,10,9,13,25020,80,73,77,76,62,85,72,72,76,69,61,80,85,67,59,77,53,75,69,73,74,76,75,72,69,76,73,74,75,71,74,74,75,72,69,76,73,74,75,71,74,74,71
2888,J. Guðmundsson,Iceland,CAM,80,63,76,77,75,71,74,77,77,68,76,7,6,14,10,8,56,49,79,59,74,45,61,67,69,67,84,49,77,78,50,72,70,70,71,57,60,72,68,71,62,57,68,60,72,72,71,73,64,71,62,57,68,60,72,72,71,73,64,71
2889,M. Jajalo,Bosnia Herzegovina,CAM,55,71,70,72,76,71,65,69,71,53,71,9,13,6,7,12,65,73,70,75,67,61,69,60,71,75,73,65,68,76,71,74,71,59,69,69,72,68,72,69,69,69,72,72,68,69,66,67,70,69,69,69,72,72,68,69,66,67,70,66
2890,H. Mukhtar,Germany,CAM,75,36,89,87,77,66,68,57,76,62,67,15,10,9,9,12,40,43,71,54,63,30,60,67,72,73,73,43,81,75,40,52,73,55,72,47,55,71,67,72,57,47,67,55,71,72,66,73,61,72,57,47,67,55,71,72,66,73,61,66
2891,Bustinza,Spain,RWB,68,71,64,71,69,64,74,45,56,30,35,14,12,11,13,7,73,76,75,53,38,70,33,52,64,68,44,73,71,80,75,71,50,23,58,72,69,56,61,58,72,72,61,69,56,62,55,59,72,58,72,72,61,69,56,62,55,59,72,55
2892,F. Berrier,France,CAM,57,37,65,75,71,74,76,74,66,64,73,8,10,11,10,11,35,52,44,77,70,22,72,71,71,82,66,30,50,67,33,45,80,64,72,42,57,68,71,72,52,42,71,57,68,70,63,69,57,72,52,42,71,57,68,70,63,69,57,63
2893,Gérson Noalha,Brazil,LM,66,55,76,66,76,71,53,83,76,75,71,14,16,16,11,16,64,25,73,56,69,22,76,67,67,56,86,22,85,74,25,69,56,77,67,43,48,70,61,67,48,43,61,48,70,67,72,69,51,67,48,43,61,48,70,67,72,69,51,72
2894,Bernardo,Brazil,LB,69,73,68,64,69,64,60,47,63,28,32,15,12,13,14,12,59,73,74,59,58,68,38,55,71,69,67,78,79,76,75,71,49,35,61,71,70,60,64,61,72,71,64,70,60,63,58,61,71,61,72,71,64,70,60,63,58,61,71,58
2895,M. Amalfitano,France,RW,65,41,73,73,76,77,72,73,73,68,69,7,13,8,7,13,60,62,64,72,68,59,70,74,74,75,74,52,68,65,60,61,76,70,73,60,66,72,72,73,65,60,72,66,72,72,70,72,66,73,65,60,72,66,72,72,70,72,66,70
2896,T. Elyounoussi,Norway,RM,82,43,90,90,75,69,68,68,78,68,65,15,8,9,14,7,62,36,76,47,69,43,65,72,72,66,72,28,78,75,33,43,70,76,72,46,52,73,65,72,55,46,65,52,73,72,70,73,58,72,55,46,65,52,73,72,70,73,58,70
2897,A. Gerndt,Sweden,CAM,80,63,73,59,73,68,70,70,72,72,68,13,10,8,13,11,56,30,65,59,75,32,67,77,71,70,75,32,73,75,37,70,70,71,72,48,54,73,67,72,54,48,67,54,73,72,72,73,57,72,54,48,67,54,73,72,72,73,57,72
2898,O. Vizcarrondo,Venezuela,CB,28,85,30,32,44,63,30,38,26,43,32,11,15,10,14,6,74,78,65,64,28,70,55,26,72,63,58,69,27,59,75,83,16,13,39,72,66,40,50,39,60,72,50,66,40,40,47,37,57,39,60,72,50,66,40,40,47,37,57,47
2899,M. Gómez,Uruguay,ST,64,47,52,55,67,59,56,68,64,78,53,7,8,13,12,6,70,17,64,58,64,22,67,75,74,61,76,23,67,68,17,77,52,66,64,41,45,68,59,64,45,41,59,45,68,65,72,66,48,64,45,41,59,45,68,65,72,66,48,72
2900,I. Saadi,France,ST,77,71,74,71,67,67,42,59,70,76,61,11,9,8,8,7,66,18,86,39,54,16,68,78,68,61,78,18,76,76,19,80,58,68,66,42,45,70,57,66,44,42,57,45,70,65,72,67,47,66,44,42,57,45,70,65,72,67,47,72
2901,F. Klaus,Germany,LM,85,60,76,78,70,68,69,60,75,65,53,7,6,13,6,8,45,34,67,58,60,30,62,72,72,70,74,29,78,77,33,67,64,59,70,46,53,71,65,70,54,46,65,53,71,72,68,71,57,70,54,46,65,53,71,72,68,71,57,68
2902,O. Kayode,Nigeria,ST,91,69,89,82,72,58,52,55,73,75,48,8,11,11,13,12,67,24,73,57,62,32,65,77,67,63,69,33,93,75,38,47,53,63,69,47,51,72,62,69,53,47,62,51,72,70,72,72,55,69,53,47,62,51,72,70,72,72,55,72
2903,Jorge Molina,Spain,ST,32,76,39,34,72,73,49,55,56,77,59,6,14,8,13,14,82,41,47,44,66,30,80,82,74,61,83,19,32,78,32,88,69,74,64,51,53,67,62,64,47,51,62,53,67,61,72,61,49,64,47,51,62,53,67,61,72,61,49,72
2904,B. Başaçıkoğlu,Turkey,LW,91,61,91,72,75,63,69,77,78,66,66,8,9,11,9,13,60,35,90,42,74,22,50,66,66,64,73,48,86,73,44,43,69,67,71,48,52,72,63,71,58,48,63,52,72,71,69,73,60,71,58,48,63,52,72,71,69,73,60,69
2905,M. Fraga,Mexico,GK,52,33,51,56,11,40,13,13,11,11,10,73,71,74,74,73,15,13,74,60,10,15,25,10,65,52,68,15,50,35,15,80,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2906,O. Kaya,Belgium,LW,71,41,81,82,73,81,80,78,26299,65,76,10,12,10,10,8,35,46,64,76,67,16,70,75,25204,73,65,23,65,65,46,56,78,66,73,44,56,70,70,73,53,44,70,56,70,72,65,72,57,73,53,44,70,56,70,72,65,72,57,65
2907,F. Coloccini,Argentina,CB,62,78,56,62,60,75,53,58,58,44,56,11,16,14,16,6,78,73,78,68,70,73,58,37,76,67,60,70,53,55,72,73,46,58,57,72,68,56,61,57,66,72,61,68,56,57,58,56,65,57,66,72,61,68,56,57,58,56,65,58
2908,K. Möhwald,Germany,CM,65,53,73,70,71,73,82,80,74,56,68,15,13,12,10,8,54,49,55,76,82,41,46,69,75,74,82,31,68,79,56,65,72,75,72,54,62,70,71,72,60,54,71,62,70,72,68,71,63,72,60,54,71,62,70,72,68,71,63,68
2909,D. Silva,Colombia,CDM,74,72,78,73,71,75,65,67,72,68,67,15,6,8,7,12,39,53,70,71,67,66,55,72,73,73,72,61,75,90,67,69,73,38,72,63,69,71,72,72,67,63,72,69,71,72,67,71,69,72,67,63,72,69,71,72,67,71,69,67
2910,F. Ceravolo,Italy,CAM,74,53,77,70,75,76,60,66,74,75,60,13,14,9,8,10,65,25,84,50,64,12,70,72,69,65,70,16,76,76,18,74,59,68,69,41,47,71,62,69,47,41,62,47,71,69,72,71,50,69,47,41,62,47,71,69,72,71,50,72
2911,A. Rodríguez,Colombia,ST,72,73,59,54,74,69,45,32,60,74,35,15,10,12,9,6,68,26,51,38,59,20,64,80,74,63,74,20,69,69,18,83,59,57,66,44,47,70,59,66,46,44,59,47,70,65,72,66,48,66,46,44,59,47,70,65,72,66,48,72
2912,J. Góralski,Poland,CM,70,90,84,81,68,75,55,46,61,42,46,11,14,7,10,5,55,77,62,71,46,69,43,62,64,70,50,69,73,86,70,68,67,47,64,70,72,61,68,64,70,70,68,72,61,65,58,62,70,64,70,70,68,72,61,65,58,62,70,58
2913,R. Boffin,Belgium,GK,56,35,52,33,16,40,11,17,20,13,15,76,65,70,73,79,12,25,72,12,20,11,20,13,67,18,20,11,57,38,12,70,37,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2914,J. Palomino,Argentina,CB,64,59,46,44,66,63,71,55,63,26,36,9,16,9,8,11,77,71,33,60,29,75,44,28,67,70,48,78,37,72,76,85,33,32,52,72,69,50,58,52,70,72,58,69,50,57,51,53,69,52,70,72,58,69,50,57,51,53,69,51
2915,A. Ulmer,Austria,LB,70,67,73,74,70,69,71,73,67,45,33,1,1,1,1,1,59,69,57,63,70,69,36,71,74,72,72,73,73,85,71,65,65,70,68,68,70,67,69,68,72,68,69,70,67,69,65,68,72,68,72,68,69,70,67,69,65,68,72,65
2916,J. Pied,France,LB,73,77,76,77,75,73,75,75,75,61,73,13,9,7,15,7,71,73,70,75,72,71,63,67,68,77,83,70,70,75,72,70,67,69,72,72,73,71,73,72,72,72,73,73,71,72,71,72,73,72,72,72,73,73,71,72,71,72,73,71
2917,L. De Bock,Belgium,LWB,73,79,72,73,70,73,77,72,67,36,70,10,13,12,8,12,65,67,77,63,43,72,63,62,69,61,68,77,76,77,73,76,62,37,63,72,69,62,64,63,72,72,64,69,62,67,61,64,72,63,72,72,64,69,62,67,61,64,72,61
2918,M. van der Hoorn,Netherlands,CB,34,64,32,37,54,62,36,33,45,42,31,7,11,15,10,15,80,70,83,62,31,75,40,40,62,57,73,70,42,57,78,85,37,26,47,72,65,48,54,47,61,72,54,65,48,47,54,45,58,47,61,72,54,65,48,47,54,45,58,54
2919,C. Mayada,Uruguay,RM,92,61,75,78,68,74,68,70,74,58,67,12,15,9,10,14,60,69,70,67,62,65,68,67,72,70,68,67,90,83,67,69,61,64,69,67,68,69,68,69,72,67,68,68,69,72,68,71,72,69,72,67,68,68,69,72,68,71,72,68
2920,M. Lazzari,Italy,RM,83,36,74,70,72,70,76,57,71,55,47,14,6,11,5,11,44,32,36,67,46,29,58,68,67,74,48,37,83,76,25,48,66,45,69,41,52,67,65,69,54,41,65,52,67,72,61,70,58,69,54,41,65,52,67,72,61,70,58,61
2921,H. González,Mexico,GK,32,27,47,41,19,40,11,25,16,11,13,74,73,69,73,76,22,19,59,23,14,14,39,11,60,36,37,14,34,45,13,73,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2922,F. Ogude,Nigeria,CM,65,85,67,66,66,70,61,54,62,61,55,10,14,15,9,11,66,73,82,74,62,66,42,64,67,72,79,68,76,92,65,84,65,64,66,71,72,66,69,66,70,71,69,72,66,67,67,65,70,66,70,71,69,72,66,67,67,65,70,67
2923,G. Laborde,France,ST,67,68,72,64,72,72,62,58,70,75,52,14,15,9,14,9,72,17,80,51,58,38,66,76,72,70,70,16,71,78,29,75,63,73,69,47,51,71,63,69,49,47,63,51,71,69,72,70,52,69,49,47,63,51,71,69,72,70,52,72
2924,W. Zimmerman,United States,CB,55,82,44,41,65,64,39,33,42,52,38,13,14,8,10,9,78,70,78,66,40,75,56,48,68,67,57,62,64,75,67,83,37,49,54,72,68,55,59,54,65,72,59,68,55,55,59,52,63,54,65,72,59,68,55,55,59,52,63,59
2925,S. Arfield,Canada,CM,70,42,73,78,72,70,74,70,74,69,65,13,13,9,13,16,63,65,72,68,66,62,62,69,67,73,69,60,68,82,64,69,71,58,71,64,67,70,71,71,68,64,71,67,70,72,69,71,69,71,68,64,71,67,70,72,69,71,69,69
2926,A. González,Mexico,CM,78,53,77,76,76,73,71,74,72,65,74,11,15,16,10,9,65,65,75,70,70,63,61,70,71,71,71,64,79,83,64,68,70,67,72,66,68,72,71,72,70,66,71,68,72,73,70,72,71,72,70,66,71,68,72,73,70,72,71,70
2927,O. Veigneau,France,LB,68,72,79,79,69,64,70,58,69,25,43,12,15,8,9,7,61,76,72,73,62,77,53,47,68,72,66,74,72,72,78,64,64,38,64,72,73,61,68,64,72,72,68,73,61,65,56,63,72,64,72,72,68,73,61,65,56,63,72,56
2928,S. Barreiro,Colombia,CB,71,61,68,68,50,64,33,28,48,28,31,11,13,9,15,7,75,73,78,62,30,78,37,33,75,50,49,75,68,77,78,72,29,18,47,72,66,47,53,47,68,72,53,66,47,50,50,47,64,47,68,72,53,66,47,50,50,47,64,50
2929,Gus Outomouro,Brazil,LM,76,50,81,83,74,71,62,71,70,74,60,8,9,16,11,7,67,23,67,62,69,23,56,68,73,73,75,20,73,67,25,64,73,73,72,43,50,72,66,72,49,43,66,50,72,71,72,72,52,72,49,43,66,50,72,71,72,72,52,72
2930,C. Doukouré,Ivory Coast,CM,76,74,75,75,72,59,59,59,66,52,65,15,15,15,10,11,61,72,69,69,67,67,42,57,67,74,70,73,72,84,77,76,63,52,67,71,72,66,69,67,72,71,69,72,66,67,64,66,72,67,72,71,69,72,66,67,64,66,72,64
2931,F. Sambueza,Argentina,RM,79,55,90,90,69,71,79,67,71,72,66,13,16,16,13,12,37,28,48,70,53,35,65,66,62,76,63,44,81,71,34,35,79,49,72,42,54,70,67,72,55,42,67,54,70,73,64,72,59,72,55,42,67,54,70,73,64,72,59,64
2932,F. Rinaudo,Argentina,CM,76,83,72,74,69,78,62,54,74,51,53,15,12,15,15,9,64,76,76,71,72,65,52,60,74,70,77,79,69,76,72,71,64,60,68,72,72,67,70,68,72,72,70,72,67,68,66,67,72,68,72,72,70,72,67,68,66,67,72,66
2933,S. Schrijvers,Belgium,LM,76,66,81,78,74,74,71,70,73,71,73,8,6,6,14,14,54,41,72,66,73,32,63,69,68,72,69,51,73,76,53,53,73,73,72,53,59,71,69,72,60,53,69,59,71,72,69,72,62,72,60,53,69,59,71,72,69,72,62,69
2934,J. Plašil,Czech Republic,CDM,43,63,64,69,78,71,70,74,75,60,74,6,8,8,7,8,65,59,61,78,59,55,69,66,74,79,58,53,38,53,61,54,76,63,71,61,67,68,72,71,60,61,72,67,68,68,64,68,62,71,60,61,72,67,68,68,64,68,62,64
2935,A. Smithies,England,GK,59,37,33,44,23,42,14,11,14,11,11,77,69,68,74,73,17,24,82,15,13,15,37,17,65,22,46,17,59,41,12,66,43,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2936,A. Barboza,Argentina,CB,52,69,45,44,59,38,33,24,51,27,26,11,11,10,7,12,82,65,53,45,31,76,45,27,58,73,38,73,52,59,81,75,33,17,49,72,65,47,53,49,64,72,53,65,47,49,48,46,61,49,64,72,53,65,47,49,48,46,61,48
2937,T. Davies,England,CAM,74,77,75,75,77,74,66,43,73,64,55,11,12,9,14,10,52,56,57,71,56,54,42,66,65,79,70,58,73,81,64,69,73,40,72,62,68,70,72,72,66,62,72,68,70,72,67,71,68,72,66,62,72,68,70,72,67,71,68,67
2938,S. Lung Jr.,Romania,GK,38,39,67,62,23,66,19,15,17,14,18,73,69,68,72,74,16,14,53,21,17,12,17,10,70,30,16,13,35,31,19,64,69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2939,E. Ofori,Ghana,CM,76,80,88,92,78,75,61,65,77,47,49,11,7,13,11,8,39,63,72,72,60,59,50,65,71,72,71,71,68,76,68,58,75,59,71,64,70,69,72,71,68,64,72,70,69,71,63,70,69,71,68,64,72,70,69,71,63,70,69,63
2940,D. Gibson,Republic of Ireland,CDM,52,72,53,61,74,80,77,61,64,56,71,15,7,12,15,6,65,69,72,81,74,73,63,57,71,78,82,70,52,61,74,75,74,66,68,71,73,67,72,68,69,71,72,73,67,67,66,66,70,68,69,71,72,73,67,67,66,66,70,66
2941,G. Hooper,England,ST,70,54,67,73,73,79,59,48,65,75,50,13,7,9,16,12,72,15,72,48,67,17,72,74,69,65,77,15,68,69,27,73,60,67,67,42,46,70,60,67,45,42,60,46,70,67,72,68,48,67,45,42,60,46,70,67,72,68,48,72
2942,F. Santander,Paraguay,ST,70,68,75,63,72,72,56,55,65,73,55,10,7,13,10,12,73,33,82,55,66,25,69,73,70,69,75,23,74,76,19,80,68,67,69,47,51,70,64,69,49,47,64,51,70,68,72,69,52,69,49,47,64,51,70,68,72,69,52,72
2943,N. Füllkrug,Germany,ST,69,65,68,52,70,66,63,69,69,73,69,15,9,10,13,9,77,24,69,48,56,16,71,73,71,64,73,17,68,74,30,83,60,59,66,46,48,69,60,66,48,46,60,48,69,67,72,68,51,66,48,46,60,48,69,67,72,68,51,72
2944,Leandro Vivenço,Brazil,ST,73,57,73,83,75,62,61,77,77,76,74,14,11,10,18,17,65,22,75,57,73,20,71,65,74,55,83,21,76,78,22,54,57,72,68,41,47,71,61,68,48,41,61,47,71,69,72,70,51,68,48,41,61,47,71,69,72,70,51,72
2945,A. Ramírez,Colombia,CDM,69,50,77,72,72,79,64,72,71,68,70,11,6,12,13,10,55,68,62,72,70,70,69,66,75,73,76,65,66,74,66,77,76,60,72,67,70,71,72,72,68,67,72,70,71,70,69,70,69,72,68,67,72,70,71,70,69,70,69,69
2946,S. Dewaest,Belgium,CB,49,83,37,37,48,68,36,33,28,33,39,16,7,12,16,10,75,69,67,46,35,72,40,37,67,54,70,71,58,80,75,88,38,22,44,72,64,45,50,44,64,72,50,64,45,45,51,42,61,44,64,72,50,64,45,45,51,42,61,51
2947,T. Monconduit,France,CM,69,74,65,69,71,73,64,65,69,49,58,12,9,14,13,13,59,69,68,71,57,68,52,67,75,75,65,66,69,85,68,73,69,39,68,69,72,67,71,68,70,69,71,72,67,69,64,67,71,68,70,69,71,72,67,69,64,67,71,64
2948,J. Cuero,Colombia,LM,93,31,89,75,72,66,70,56,73,66,29,9,15,12,7,10,65,50,69,58,63,17,58,67,70,65,75,35,93,81,32,59,65,59,70,46,52,71,65,70,58,46,65,52,71,72,70,73,60,70,58,46,65,52,71,72,70,73,60,70
2949,Roni,Brazil,CAM,77,32,79,77,75,67,67,69,79,71,35,8,16,15,12,9,71,26,65,65,70,23,62,76,63,69,78,22,80,65,26,51,73,62,73,41,48,74,66,73,50,41,66,48,74,72,72,73,53,73,50,41,66,48,74,72,72,73,53,72
2950,J. Kluivert,Netherlands,LW,87,62,87,83,78,75,70,68,83,64,58,5,6,14,7,12,52,45,66,44,59,33,66,57,64,69,65,27,86,67,32,60,72,67,71,48,53,71,64,71,55,48,64,53,71,72,67,73,59,71,55,48,64,53,71,72,67,73,59,67
2951,A. Donatti,Argentina,CB,52,75,52,40,62,56,38,62,50,48,74,13,10,6,15,12,79,72,79,59,65,75,48,36,71,60,80,69,55,69,72,77,35,36,53,72,67,54,57,53,65,72,57,67,54,52,59,52,63,53,65,72,57,67,54,52,59,52,63,59
2952,M. Barrios,Colombia,LM,93,56,91,94,70,70,66,64,72,23743,43,9,8,11,15,9,49,49,63,58,59,32,59,68,70,67,74,30,90,79,36,34,74,69,71,46,55,71,66,71,57,46,66,55,71,72,67,72,60,71,57,46,66,55,71,72,67,72,60,67
