Name,Nationality,Position_int,Position,Rating,Height,Weight,Preffered_Foot,Age,Work_Rate1,Work_Rate2,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
Fernando CanesÃ­n,Brazil,6,RM,73,176,68,1,25,2,1,4,4,76,78,23,27,29,52,70,71,39,70,68,64,68,65,83,81,78,53,76,82,60,47,62,59,63,67,61,63,66,11,16,13,10,11
MontaÃ±Ã©s,Spain,4,LM,73,172,70,1,30,2,1,4,3,75,78,37,21,40,51,71,65,38,68,79,72,71,63,85,79,61,63,84,85,76,42,75,61,66,76,62,60,66,12,12,10,15,13
Claiton,Brazil,2,CB,73,186,78,0,32,1,2,3,2,58,45,75,70,76,67,70,21,77,28,71,18,55,47,54,54,54,81,54,55,78,70,40,14,29,12,25,18,26,12,8,15,12,13
Joselu,Spain,9,ST,73,177,73,1,26,2,2,3,3,68,66,39,39,45,69,67,67,65,48,51,44,58,45,79,78,83,74,60,70,68,65,82,79,75,55,54,75,70,14,10,8,14,9
Santos,Brazil,5,CAM,73,165,64,1,31,2,0,5,3,73,73,46,25,35,52,65,67,33,69,65,66,68,66,90,85,76,59,91,84,79,68,70,74,70,57,62,65,67,16,15,14,10,7
Ilja Nestorovski,FYR Macedonia,9,ST,73,182,76,0,27,2,1,4,3,73,71,30,26,27,48,71,79,27,42,43,39,61,37,68,69,79,76,72,63,69,67,68,78,69,56,52,64,67,11,14,10,15,16
JoÃ£o Pedro,Brazil,5,CAM,73,184,73,1,25,2,1,3,3,75,72,30,28,44,66,72,75,42,67,70,66,72,66,77,77,76,64,61,73,73,61,77,71,73,68,54,69,72,11,14,7,16,12
Yun Young Sun,Korea Republic,2,CB,73,185,78,1,28,1,2,4,2,61,33,70,66,71,88,69,31,73,63,59,48,63,58,79,79,84,85,58,81,59,66,23,22,55,45,23,33,56,16,7,10,6,13
RaÃºl Lizoain,Spain,0,GK,73,188,80,0,26,1,1,2,1,15,12,12,13,14,24,61,16,17,33,43,11,15,22,47,55,41,52,58,70,73,15,25,12,12,13,16,24,14,74,73,59,76,72
Georgios Tzavellas,Greece,2,CB,73,183,86,0,29,1,1,3,2,71,57,70,71,72,85,70,43,76,49,70,75,67,72,70,67,70,77,71,56,75,62,77,53,73,81,75,64,63,14,12,6,14,9
Ibragim Tsallagov,Russia,3,RB,73,179,74,1,26,2,1,2,2,66,74,69,75,73,46,69,55,70,62,43,63,62,60,82,81,88,58,71,83,70,53,51,50,42,44,46,41,53,7,7,14,7,11
KÃ©vin Malcuit,France,3,RB,73,180,76,1,25,2,1,3,3,75,79,67,71,73,74,61,65,69,48,67,76,73,66,81,87,74,77,68,78,72,63,64,66,52,58,47,51,56,9,12,12,13,11
Grant Hanley,Scotland,2,CB,73,191,76,1,25,0,1,3,2,64,44,74,70,75,82,61,41,69,50,72,50,58,56,68,72,69,78,52,58,81,71,32,30,38,45,39,40,32,12,9,11,9,8
Jonathan Williams,Wales,5,CAM,73,168,60,1,23,2,1,3,3,76,78,48,36,38,55,61,68,39,72,72,64,72,66,80,70,72,57,90,91,67,49,61,65,60,47,43,60,51,10,8,11,16,9
Zakaria Labyad,Morocco,5,CAM,73,173,74,1,24,1,1,5,4,80,77,24,28,36,32,71,67,31,66,72,70,73,65,78,77,70,56,83,78,69,49,75,64,74,78,73,68,74,15,10,14,10,11
Martin Linnes,Norway,3,RB,73,177,72,1,25,2,1,3,2,74,71,70,72,69,61,70,58,72,67,61,68,63,56,86,86,80,56,80,82,66,56,61,55,54,65,38,41,47,11,13,6,10,16
Tano Bonnin,Dominican Republic,2,CB,73,186,76,1,26,0,1,3,2,62,49,67,76,77,82,59,40,69,45,42,53,71,55,54,60,75,77,65,52,80,65,60,26,22,40,52,51,13,6,7,14,13,14
SebastiÃ¡n Dubarbier,Argentina,1,LB,73,178,77,0,31,2,1,3,3,71,75,57,70,75,90,71,63,73,62,48,75,66,61,79,79,89,74,68,70,81,55,67,56,61,72,65,59,57,16,9,9,11,8
Guerrero,Spain,9,ST,73,180,79,1,26,2,1,3,3,70,65,23,33,41,80,75,76,32,63,81,43,67,58,68,74,70,65,69,64,72,75,78,74,62,66,50,65,74,16,11,11,6,12
Leandro Bacuna,Curacao,3,RB,73,187,77,1,25,2,1,3,3,73,74,72,67,69,72,71,68,63,69,69,77,73,71,78,77,85,76,64,73,71,63,83,67,70,77,75,76,71,16,15,14,8,15
FranÃ§ois Moubandje,Switzerland,1,LB,73,180,74,0,26,1,1,3,2,69,69,77,74,77,74,71,68,73,57,72,63,70,67,73,72,75,75,67,67,84,64,60,39,39,57,48,56,39,11,15,13,14,6
Denis Alibec,Romania,9,ST,73,187,88,0,26,1,0,3,3,73,72,46,32,39,85,69,70,57,65,61,56,64,62,72,69,69,82,63,66,65,64,78,77,75,74,66,69,76,6,16,12,6,8
Lorenzo Crisetig,Italy,5,CM,73,183,80,0,24,1,1,3,3,76,72,60,60,68,64,68,60,70,72,72,62,78,76,54,64,76,78,68,68,72,68,70,33,68,61,59,59,58,4,4,4,4,4
Idriss Saadi,France,9,ST,73,179,75,1,25,2,1,3,3,67,70,16,18,19,71,68,78,18,58,67,42,61,39,81,78,76,80,74,75,85,66,78,76,54,59,61,68,68,8,11,8,9,7
Karim Ansarifard,Iran,9,ST,73,175,65,1,26,2,0,4,3,76,75,29,38,40,66,75,73,54,52,77,58,58,50,79,79,72,41,69,69,73,70,78,74,66,63,53,61,71,15,8,9,14,12
HÃ©ldon,Cape Verde,7,LW,73,174,68,1,28,2,0,3,4,74,77,27,21,25,30,74,71,31,68,69,68,63,56,86,85,73,50,77,83,67,59,72,72,64,73,71,71,64,6,7,11,14,14
Å½eljko BrkiÄ‡,Serbia,0,GK,73,194,88,1,30,1,1,2,1,23,17,13,18,16,14,66,11,14,36,37,12,33,31,40,40,36,68,34,40,70,11,18,13,10,12,12,16,10,73,77,59,69,73
Borja GarcÃ­a,Spain,5,CM,73,176,72,1,26,2,1,3,3,75,72,44,51,68,47,70,68,66,72,61,63,74,70,84,77,73,69,78,78,72,53,65,71,70,65,51,62,59,12,9,13,13,16
Daniel Ayala,Spain,2,CB,73,190,84,1,26,1,1,3,2,64,55,75,70,74,72,67,40,73,60,68,35,59,61,66,65,67,73,50,62,68,76,45,36,32,41,32,37,29,6,15,15,8,10
Knowledge Musona,Zimbabwe,5,CAM,73,174,68,1,26,1,0,3,3,75,76,36,35,33,49,74,71,25,63,67,65,68,67,79,77,72,44,84,84,77,64,74,75,71,69,67,73,70,15,6,8,7,12
Christoph Moritz,Germany,5,CM,73,186,80,1,27,1,1,3,3,76,76,72,67,69,52,73,67,76,72,77,73,74,72,52,67,78,69,65,75,68,63,69,55,54,59,49,58,53,12,14,6,12,16
Lasse Sobiech,Germany,2,CB,73,196,88,1,26,1,1,3,2,54,32,74,69,77,72,71,47,68,42,70,42,57,48,47,55,58,84,33,32,50,83,73,48,31,34,26,71,39,9,12,12,6,7
PelÃ©,Portugal,5,CDM,73,182,77,1,25,1,1,3,2,70,68,70,73,75,82,70,70,73,62,71,58,75,70,71,69,66,82,63,77,71,69,76,48,69,69,72,75,61,12,14,10,12,5
Necip Uysal,Turkey,5,CDM,73,180,72,1,26,1,2,3,2,74,69,66,72,74,86,64,42,68,62,59,68,73,74,69,72,76,74,68,66,79,76,73,55,66,45,30,60,33,16,15,13,13,7
Jack Colback,England,5,CDM,73,176,70,0,27,1,2,3,2,73,68,68,74,73,82,70,53,70,61,65,61,78,71,68,65,82,55,73,75,79,56,71,54,64,60,59,59,47,10,6,6,6,7
Conor Hourihane,Republic of Ireland,5,CM,73,181,62,0,26,2,2,4,3,69,66,60,64,70,75,70,65,68,77,66,75,73,71,66,74,85,69,76,80,74,57,71,63,74,73,73,64,60,6,9,11,16,9
Dario DumiÄ‡,Bosnia Herzegovina,2,CB,73,193,85,1,25,0,2,2,2,54,39,72,65,75,68,63,31,65,47,65,39,65,61,51,65,76,87,41,58,77,81,69,41,41,48,56,31,22,12,15,14,13,10
Tom Lees,England,2,CB,73,183,73,1,26,1,2,3,2,63,59,74,73,75,69,66,38,69,56,68,63,66,62,62,65,70,80,68,61,81,73,38,36,35,33,20,42,20,9,13,14,14,15
Beram Kayal,Israel,5,CM,73,178,74,1,28,1,2,3,3,71,73,64,68,71,83,67,63,67,71,72,65,74,72,74,74,91,75,74,77,91,66,72,54,69,58,57,58,53,14,10,11,8,6
Idrissa Sylla,Guinea,9,ST,73,186,73,0,26,2,1,3,3,73,69,22,20,21,67,68,71,30,58,68,53,65,54,75,76,64,71,65,73,91,78,73,73,66,50,49,63,64,10,8,16,13,13
Jonathan Estrada,Colombia,5,CAM,73,182,74,0,34,1,0,3,4,75,72,44,55,52,46,72,70,59,77,74,78,75,67,68,64,60,71,67,70,66,55,72,60,70,75,77,71,70,9,13,12,10,12
Joel Obi,Nigeria,5,CM,73,176,71,0,25,2,2,3,3,75,75,69,73,71,77,75,67,72,72,75,68,76,68,85,77,69,67,87,85,78,50,77,55,69,52,56,59,62,15,13,12,9,13
Vid Belec,Slovenia,0,GK,73,192,84,1,26,1,1,3,1,21,13,14,11,10,25,67,11,21,23,40,11,24,28,53,43,20,59,31,55,75,13,23,10,16,11,13,23,10,73,73,60,74,74
Adama TraorÃ©,Ivory Coast,1,LB,73,170,73,0,27,2,1,2,2,64,69,69,69,71,69,71,65,73,61,73,73,68,67,85,86,80,68,82,82,82,57,64,52,62,65,34,53,59,11,11,6,15,12
Christian Santos,Venezuela,9,ST,73,184,70,0,29,1,1,3,2,72,67,37,33,37,58,71,78,22,65,75,68,69,67,59,64,71,65,57,68,74,70,69,77,75,79,71,80,81,14,7,12,10,7
Vincent Le Goff,France,1,LB,73,176,74,0,27,2,1,3,2,73,69,76,78,77,61,65,74,72,63,54,75,73,72,73,68,71,58,70,75,60,33,60,57,68,50,47,43,52,16,6,7,11,8
Yeni Ngbakoto,France,4,LM,73,174,72,1,25,2,1,3,3,73,74,22,19,18,62,75,70,25,72,65,69,62,60,78,76,80,69,74,81,56,40,70,72,72,71,73,66,52,14,15,15,7,11
Giorgi Loria,Georgia,0,GK,73,197,85,1,31,1,1,2,1,25,27,23,24,22,33,68,11,22,55,50,26,36,46,50,54,26,75,44,53,68,34,19,22,22,23,17,26,24,75,69,70,71,76
Juanpe,Spain,2,CB,73,190,85,1,25,0,2,3,2,63,38,71,70,76,79,55,32,70,54,44,35,69,60,55,69,75,80,36,34,70,77,44,35,27,28,35,37,13,8,11,11,8,13
Kike,Spain,9,ST,73,186,79,1,27,1,1,4,2,75,71,15,17,26,71,61,74,34,62,60,51,66,45,65,73,67,78,55,64,73,76,77,74,62,42,46,70,75,13,7,8,9,13
Mato Jajalo,Bosnia Herzegovina,5,CM,73,180,80,1,28,1,1,3,3,76,71,61,65,71,71,71,60,73,71,71,65,75,75,55,68,76,74,72,68,68,65,73,53,67,69,71,69,59,7,9,6,13,12
Milton Caraglio,Argentina,9,ST,73,187,86,0,28,1,0,3,3,72,70,22,18,19,70,70,74,25,58,75,64,65,55,65,55,63,82,55,63,65,75,78,74,71,55,47,75,73,8,14,6,10,12
Artjoms RudÅ†evs,Latvia,9,ST,73,183,81,1,29,2,1,4,2,68,60,25,24,29,79,75,72,28,54,68,44,58,39,77,84,78,77,67,66,80,74,81,71,70,53,46,74,78,14,10,11,11,15
Johnathan,Brazil,9,ST,73,184,74,1,27,2,0,2,3,75,73,32,26,31,59,69,77,34,57,67,62,64,54,77,76,72,68,58,73,65,68,71,76,67,56,57,58,63,13,12,13,15,7
Bruno CÃ©sar,Brazil,1,LB,73,177,75,0,28,1,1,3,3,80,82,68,68,73,79,71,74,71,80,72,81,81,79,64,63,74,69,84,68,58,58,88,72,85,85,83,68,82,13,16,7,16,8
Paulinho,Brazil,7,LW,73,174,75,1,30,1,1,4,3,76,73,14,17,12,76,74,79,18,67,76,60,67,54,79,71,61,64,88,81,51,43,74,77,79,73,72,65,73,3,3,3,3,3
Kristoffer Nordfeldt,Sweden,0,GK,73,190,85,1,27,1,1,2,1,24,14,13,15,13,24,70,15,23,30,18,11,41,26,55,52,33,74,46,58,83,13,19,13,12,20,11,13,11,74,73,66,66,78
Niklas Hult,Sweden,1,LWB,74,173,66,0,27,2,2,3,2,70,70,67,64,68,72,74,60,70,69,72,74,75,65,82,83,80,50,84,78,80,46,67,63,57,65,51,50,56,16,7,13,8,15
NÃ©stor Araujo,Mexico,2,CB,73,188,87,1,25,0,1,3,2,65,48,73,74,74,65,65,30,74,43,71,32,63,50,63,73,75,82,50,50,65,73,63,34,39,44,45,45,36,6,7,13,8,9
Yun Suk Young,Korea Republic,1,LB,73,183,76,0,27,1,2,3,2,70,71,71,72,71,75,66,61,66,65,76,72,69,62,83,82,82,70,75,83,70,66,69,59,56,56,56,54,56,8,8,12,16,14
Kim Shin Wook,Korea Republic,9,ST,73,197,97,1,28,1,1,3,3,75,60,54,42,40,73,75,70,26,68,67,52,67,62,61,59,77,89,67,54,70,72,76,75,72,53,50,75,72,10,7,7,10,8
Kim Seung Gyu,Korea Republic,0,GK,73,187,76,1,26,1,1,3,1,20,12,12,12,18,27,69,16,25,35,64,14,30,33,57,58,16,61,56,71,68,11,11,12,19,16,12,12,14,70,74,71,71,74
Shinzo Koroki,Japan,9,ST,73,175,72,1,30,2,0,4,3,74,72,19,23,21,77,66,74,34,78,75,49,67,55,72,61,72,66,73,86,61,77,73,77,74,46,55,71,66,7,16,9,12,10
Osama Hawsawi,Saudi Arabia,2,CB,73,185,75,1,32,1,2,3,2,53,54,72,71,74,67,67,57,71,34,74,44,68,57,73,70,87,89,64,65,75,73,65,57,48,50,42,68,48,8,16,6,9,11
Ivan ObradoviÄ‡,Serbia,1,LB,73,181,79,0,28,2,1,2,3,73,69,67,73,71,64,76,57,71,67,65,77,71,68,72,75,71,73,64,69,68,53,60,51,54,59,55,50,58,10,6,6,13,15
Juan Mercier,Argentina,5,CDM,73,181,78,1,37,0,2,3,2,71,69,74,71,75,79,77,65,74,74,61,66,73,75,67,54,34,77,64,64,81,60,70,54,66,70,66,63,65,10,14,12,11,15
JÃ³hann Berg Gudmundsson,Iceland,6,RM,73,178,77,0,26,2,1,3,3,75,77,45,49,50,63,69,67,49,70,68,74,69,58,80,77,74,72,73,72,58,56,84,68,74,78,78,57,70,10,7,14,6,8
Felix Kroos,Germany,5,CDM,73,184,78,1,26,1,1,3,2,73,69,71,68,72,77,71,62,73,68,67,50,75,69,66,65,72,71,68,68,71,63,71,59,68,69,70,60,58,15,10,11,8,13
Kian Hansen,Denmark,2,CB,73,184,74,1,28,1,1,3,2,67,49,71,74,73,64,69,52,71,63,67,60,71,71,74,74,73,73,70,72,80,72,55,38,43,58,43,33,36,7,16,16,8,13
Matt Besler,United States,2,CB,73,183,77,0,30,0,2,3,2,69,56,72,73,72,69,73,32,73,60,71,49,74,78,75,76,78,76,67,64,69,69,58,35,41,32,35,52,44,14,14,6,10,9
OrtuÃ±o,Spain,9,ST,73,182,84,0,26,1,1,4,3,68,73,20,15,18,38,69,77,29,59,61,49,58,41,63,69,60,74,59,59,62,67,74,79,59,71,53,70,72,14,11,16,9,15
Mike Frantz,Germany,5,CM,73,182,80,0,30,1,2,4,2,69,71,59,66,67,81,76,66,71,69,72,74,75,70,68,71,87,76,76,67,65,58,74,63,66,69,50,57,58,15,15,7,12,8
Daniel Villalva,Argentina,4,LM,73,158,61,1,24,1,1,4,4,75,78,19,22,23,43,68,69,49,69,77,62,70,55,91,87,72,29,96,92,86,63,72,68,72,71,63,63,73,7,7,8,7,16
Darwin Quintero,Colombia,9,ST,73,166,66,1,29,2,1,3,4,72,77,21,21,23,77,71,78,24,75,68,64,72,71,88,86,70,69,82,90,65,55,73,68,59,72,56,59,72,7,7,16,9,12
Osvaldo MartÃ­nez,Paraguay,5,CM,73,165,71,1,30,1,0,4,3,75,70,60,55,59,72,70,74,60,70,72,65,74,72,67,63,83,65,84,76,70,58,75,65,70,73,66,79,71,11,14,8,7,7
Edgar BenÃ­tez,Paraguay,4,LM,73,176,70,0,29,2,0,4,3,75,76,22,24,20,65,66,72,41,64,69,71,70,61,81,78,74,72,66,78,73,65,78,74,69,60,60,66,69,14,7,8,12,16
Nicola Rigoni,Italy,5,CM,73,187,84,1,26,1,2,3,3,75,67,58,64,68,70,71,61,73,71,75,61,78,76,59,67,77,75,63,61,67,67,61,46,69,64,61,51,51,6,4,13,10,13
Eyong Enoh,Cameroon,5,CDM,72,173,69,1,31,0,1,2,2,64,58,73,73,77,85,71,42,73,58,63,30,66,64,69,63,78,73,74,66,80,61,70,24,33,24,20,56,22,16,7,15,10,15
Javi Castellano,Spain,5,CDM,73,180,71,1,29,0,2,3,2,67,46,71,69,75,77,59,39,76,65,62,49,77,72,61,57,72,73,54,62,56,66,52,34,44,43,40,44,33,8,11,16,10,12
Vincent Manceau,France,3,RB,73,174,65,1,27,1,2,3,2,74,64,75,74,76,70,72,47,73,60,55,69,70,66,58,53,84,69,79,73,86,66,46,30,40,42,39,54,25,11,16,10,10,16
Gianluca Sansone,Italy,7,LW,73,174,68,0,29,1,1,3,3,76,76,22,30,30,49,68,65,15,66,68,63,67,50,87,82,74,49,88,91,58,56,80,69,73,74,80,77,74,6,4,13,10,13
Ezequiel Luna,Argentina,2,CB,73,180,74,1,30,1,2,3,2,50,46,77,73,75,81,65,35,69,35,53,45,65,51,54,54,64,81,60,32,81,69,56,31,32,27,33,33,18,12,12,6,6,8
Quique,Spain,9,ST,73,175,67,0,26,1,2,3,3,66,70,41,32,37,49,77,80,44,58,62,65,69,58,75,74,63,67,77,76,73,70,72,69,73,70,59,71,71,12,14,10,13,9
Moestafa El Kabir,Morocco,9,ST,73,174,84,1,28,2,1,4,4,73,72,16,31,29,74,73,75,21,68,72,65,60,55,67,76,66,84,66,75,85,66,79,70,67,68,70,68,70,8,15,8,14,15
Marko VejinoviÄ‡,Netherlands,5,CM,73,186,69,1,27,0,1,2,3,75,64,58,52,63,53,61,69,67,75,73,78,82,77,49,70,70,66,63,69,78,71,81,52,76,85,80,76,74,14,7,9,15,16
AlcalÃ¡,Spain,2,CB,73,196,93,1,28,1,1,4,2,62,50,74,66,81,76,56,26,66,48,37,45,69,66,36,58,71,88,30,40,62,73,80,30,68,62,63,39,37,8,15,8,10,11
Guaita,Spain,0,GK,73,190,81,1,30,1,1,3,1,24,16,10,17,15,24,68,13,27,45,30,35,39,33,51,52,52,62,48,63,68,20,45,11,25,32,20,29,25,71,72,73,74,75
SÃ­lvio,Portugal,3,RB,73,176,72,1,29,1,1,4,2,75,70,69,78,75,74,65,59,70,65,62,77,71,67,74,73,66,64,77,73,79,64,69,53,65,74,44,54,51,14,8,11,13,8
Harrison Afful,Ghana,3,RB,73,168,58,1,30,2,1,3,2,72,70,66,68,67,65,70,69,73,68,71,75,69,63,81,79,83,66,79,69,80,60,65,47,51,70,42,53,47,8,8,10,13,11
Jaime Romero,Spain,6,RM,73,176,77,0,26,2,0,2,3,75,83,28,33,36,49,67,72,42,64,70,65,72,58,76,77,65,61,75,75,70,55,58,68,61,71,55,59,60,9,6,14,8,13
Mads AlbÃ¦k,Denmark,5,CM,73,182,76,0,27,1,1,2,2,73,65,54,57,65,79,72,63,69,73,71,73,74,78,53,56,76,72,65,72,56,45,73,64,73,71,62,57,67,10,7,14,6,15
Ashley Westwood,England,5,CM,73,170,67,1,26,1,1,3,2,77,59,61,64,66,49,76,54,70,76,79,76,76,79,70,63,75,60,79,73,63,44,62,47,57,64,75,55,48,7,10,13,13,8
Maximiliano Caire,Argentina,3,RB,73,177,70,1,28,1,1,3,2,60,78,69,77,72,66,62,53,75,43,44,58,59,56,87,84,90,67,77,76,86,78,51,28,38,58,41,35,33,6,15,13,7,7
Garath McCleary,Jamaica,8,RW,73,183,76,1,29,1,1,3,4,74,76,44,39,46,55,71,69,38,67,59,66,64,53,91,90,71,73,61,79,73,48,78,68,73,68,63,65,71,9,14,8,15,14
Luca Siligardi,Italy,8,RW,73,180,72,0,29,1,0,3,4,78,75,19,27,27,38,69,70,23,63,67,71,71,65,80,80,76,66,79,80,34,46,72,63,77,74,68,61,69,14,15,14,5,8
Alex BergantiÃ±os,Spain,5,CDM,73,177,73,1,31,1,1,3,2,67,58,70,67,76,74,72,56,79,70,65,49,71,69,54,53,75,77,68,61,73,61,60,36,51,59,50,58,46,9,12,11,10,13
Emmanuel Imorou,Benin,1,LB,73,181,78,0,28,1,1,2,2,66,61,71,71,70,73,73,54,71,65,72,71,65,67,76,77,80,69,78,74,72,67,61,50,57,59,54,55,50,16,9,13,12,8
Mehdi Mostefa,Algeria,5,CDM,73,181,82,1,33,1,2,3,2,74,59,63,63,71,79,75,43,68,67,69,48,72,69,54,51,89,79,67,69,71,73,48,51,65,25,54,59,29,6,9,12,10,8
Igor Lewczuk,Poland,2,CB,73,187,85,1,31,2,1,3,2,63,60,74,69,73,78,71,62,73,60,66,67,68,53,72,75,89,82,64,67,70,62,63,42,35,59,34,52,34,14,15,15,13,16
Stijn Wuytens,Belgium,2,CB,73,183,77,0,27,1,1,4,2,73,64,71,69,70,62,74,59,75,72,72,67,78,78,63,65,83,73,66,72,69,75,72,48,74,74,75,55,60,15,13,13,8,15
Wallace Reis,Brazil,2,CB,73,184,76,1,29,1,1,2,2,58,50,70,72,74,79,66,37,76,54,65,56,68,69,46,54,44,76,56,42,83,73,62,52,45,25,47,53,60,13,10,7,9,8
Ricardo Noir,Argentina,7,LW,73,173,65,1,30,1,1,3,3,71,72,43,40,37,55,69,69,57,68,38,69,71,67,89,89,87,66,78,78,70,62,72,68,68,71,47,59,66,6,8,10,10,12
George Friend,England,1,LB,73,188,83,0,29,2,1,3,2,69,74,73,74,76,62,65,64,70,53,62,66,68,59,75,73,85,82,50,71,72,68,63,50,56,67,57,50,34,6,11,15,13,12
Sergey Politsevich,Belarus,2,CB,73,186,80,1,26,0,1,4,2,58,44,70,68,75,70,68,30,72,37,60,36,66,68,62,67,69,78,58,62,72,76,46,24,43,52,68,52,19,8,14,14,7,6
David Yurchenko,Russia,0,GK,73,186,80,1,31,1,1,2,1,22,12,16,15,14,34,71,12,18,38,60,18,36,31,46,53,20,69,42,49,66,12,22,14,14,12,13,24,12,76,65,70,71,75
Rens van Eijden,Netherlands,2,CB,73,189,81,1,29,0,1,2,2,57,39,75,67,74,74,67,34,74,58,58,21,61,48,46,36,64,85,53,40,80,76,58,21,23,27,32,41,22,11,15,7,7,9
Jair Pereira,Mexico,2,CB,73,183,81,1,30,0,1,3,2,53,54,75,75,75,72,61,35,69,50,63,50,60,54,62,59,78,82,59,44,69,79,50,31,43,30,33,50,19,12,14,15,7,15
Jorge HernÃ¡ndez,Mexico,5,CDM,73,170,77,1,27,1,2,3,2,72,66,69,69,70,84,69,56,72,69,72,64,73,70,67,71,89,68,74,68,81,56,74,49,69,71,63,69,71,8,9,13,9,11
Vladimir Granat,Russia,2,CB,73,184,80,0,29,1,1,3,2,50,48,75,74,79,75,72,29,74,48,73,62,64,63,50,52,63,71,56,65,71,65,73,43,64,67,74,41,49,13,12,14,13,6
Luis Fuentes,Mexico,1,LB,73,172,64,0,30,2,1,3,3,70,69,71,72,74,68,67,64,71,64,67,73,70,69,74,74,78,71,77,74,81,72,72,50,65,63,55,63,52,9,11,7,9,8
Anders Konradsen,Norway,5,CM,73,183,76,1,26,2,2,4,3,70,69,68,68,71,75,75,69,69,68,67,67,72,71,68,71,92,75,71,69,72,64,75,64,68,60,64,59,68,14,8,9,7,16
Moussa MaÃ¢zou,Niger,9,ST,73,186,79,1,28,2,1,2,3,64,66,15,25,27,79,71,66,22,58,64,62,61,42,88,87,78,82,59,70,80,78,81,72,63,53,45,70,69,8,15,11,12,12
Hugo GonzÃ¡lez,Mexico,0,GK,73,185,82,1,26,1,1,4,1,19,16,14,14,13,27,60,11,19,60,40,11,36,23,32,34,45,73,41,47,59,22,37,11,14,25,13,39,15,73,74,69,73,76
Alexander BÃ¼ttner,Netherlands,1,LB,73,174,75,0,28,2,2,3,3,74,73,70,74,73,74,71,66,64,64,66,75,68,67,78,82,72,70,75,75,77,65,83,56,71,76,77,74,60,14,8,14,11,10
Claudemir,Brazil,5,CM,73,184,77,1,29,1,2,3,3,73,68,58,63,68,72,69,68,72,71,73,69,73,71,63,63,83,74,63,69,67,65,73,64,71,67,68,60,67,13,15,11,13,13
VÃ­tor Gomes,Portugal,5,CM,73,183,81,1,29,1,1,3,3,75,71,66,68,66,75,74,66,68,72,70,75,75,72,63,60,70,75,59,63,76,70,77,52,70,61,73,59,50,15,6,9,15,7
Ezequiel MuÃ±oz,Argentina,2,CB,73,185,82,1,26,1,2,3,2,53,38,75,75,76,78,65,21,69,29,62,30,58,55,55,55,68,79,50,53,82,73,57,19,31,29,30,21,18,11,11,7,11,12
Alberto,Spain,0,GK,73,182,73,1,32,1,1,3,1,30,12,11,10,11,34,68,13,20,31,36,25,29,27,62,63,59,60,66,66,75,14,37,15,31,22,20,21,29,70,77,69,70,72
RaÃºl FernÃ¡ndez,Spain,0,GK,73,196,86,1,29,1,1,2,1,14,16,11,11,11,21,69,11,21,21,19,23,29,26,36,47,32,79,49,40,59,13,24,13,24,24,14,24,22,74,73,62,75,72
Hamdi Harbaoui,Tunisia,9,ST,73,185,81,1,32,2,1,3,2,70,66,13,22,24,73,68,76,28,61,74,62,66,49,63,66,68,81,56,61,71,78,72,75,64,47,46,63,65,12,7,7,7,16
Roman NeustÃ¤dter,Russia,2,CB,73,188,81,1,29,0,1,4,2,73,62,73,70,75,60,72,53,72,69,63,56,73,72,52,53,77,74,45,54,65,76,70,39,63,53,50,58,47,13,6,15,13,14
Levan Mchedlidze,Georgia,9,ST,73,190,85,0,27,1,1,3,3,76,70,14,20,34,70,68,74,25,60,70,42,64,50,63,69,66,86,36,55,55,76,72,76,54,43,50,56,68,15,11,9,8,12
Kyle Bartley,England,2,CB,73,194,94,1,25,1,2,3,2,63,40,72,69,73,80,62,25,69,38,68,39,64,51,67,64,78,83,34,46,54,76,36,24,20,33,34,46,23,10,6,14,10,7
Oliver Norwood,Northern Ireland,5,CDM,73,175,76,1,25,1,1,3,2,72,64,67,72,71,72,65,59,72,72,69,70,76,77,64,64,72,60,74,71,63,58,77,58,73,72,73,56,69,7,16,7,16,12
Henri Lansbury,England,5,CM,73,185,85,1,26,1,1,3,3,73,68,56,62,60,81,69,70,67,73,71,66,73,73,64,65,81,74,65,71,62,47,70,68,73,69,70,72,57,14,11,15,16,13
Ã˜rjan Nyland,Norway,0,GK,73,192,90,1,26,1,1,4,1,23,21,15,12,11,26,67,13,21,28,41,12,35,46,51,48,33,74,53,45,71,13,23,11,13,13,14,25,14,74,74,78,68,75
Joshua King,Norway,9,ST,74,180,74,1,25,1,1,2,3,72,77,22,19,27,50,70,70,36,56,61,63,66,47,88,92,73,75,71,78,72,63,75,75,58,69,42,69,64,12,12,11,9,7
Vegard Forren,Norway,2,CB,73,186,85,0,29,1,1,3,2,65,55,74,68,73,75,70,37,73,46,73,45,67,64,48,49,70,82,65,47,81,71,78,39,61,68,68,60,44,11,14,6,6,13
Thomas Rogne,Norway,2,CB,73,191,86,1,26,1,1,3,2,60,44,78,67,76,67,72,36,74,48,67,46,57,64,45,54,63,84,41,49,62,74,47,15,33,37,25,44,30,16,9,14,6,8
